"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1708789,"June 18, 2020",Indiana,"South Bend","600 block of Leland Ave",1,0,N/A
1708771,"June 17, 2020",Georgia,Atlanta,"2600 block of Fox Hall Ln S",1,0,N/A
1708581,"June 17, 2020",Missouri,"Saint Louis","E Grand Ave and Blair Ave",0,1,N/A
1708432,"June 17, 2020",Illinois,Chicago,"1323 W 76th St",0,4,N/A
1707055,"June 16, 2020",Louisiana,"Lake Charles","Eugene Ln",0,2,N/A
1708745,"June 15, 2020",Texas,"Newton (county)",N/A,0,1,N/A
1706543,"June 15, 2020",Florida,Jacksonville,"127 East 43rd St",1,0,N/A
1705419,"June 14, 2020",Kansas,"Junction City","Clarks Creek Rd",1,0,N/A
1705750,"June 14, 2020",California,"Los Angeles","2927 Francis Ave",0,1,N/A
1705106,"June 13, 2020",Texas,"San Antonio","200 block of Nelson Ave",0,1,N/A
1705158,"June 13, 2020","New York",Albany,"100 block of 2nd Ave",0,1,N/A
1704405,"June 13, 2020",Florida,Orlando,"1488 Mercy Dr",0,4,N/A
1705233,"June 13, 2020",Ohio,Cleveland,"E 116th St and Union Ave",0,2,N/A
1704607,"June 13, 2020",Pennsylvania,Pittsburgh,"Sedgwick St and Liverpool St",0,3,N/A
1704023,"June 12, 2020",Alabama,"Covington (county)",N/A,0,1,N/A
1703951,"June 12, 2020",Ohio,Cincinnati,"Glenway Ave",0,1,N/A
1707257,"June 12, 2020",Washington,Vancouver,"10202 NW 20th Ave",2,0,N/A
1703044,"June 11, 2020",Louisiana,Monroe,"1101 Richwood Road 2",6,0,N/A
1703008,"June 11, 2020",Illinois,Chicago,"5300 W Race Ave",0,1,N/A
1702286,"June 11, 2020",Virginia,Richmond,"2100 block of Accommodation St",0,2,N/A
1704036,"June 11, 2020",Mississippi,Woodville,"1119 Ford Creek Rd",1,0,N/A
1703018,"June 11, 2020",Louisiana,"Ruston (Woodville)","Fords Creek Rd",1,0,N/A
1703731,"June 10, 2020",Texas,"Fort Worth","1400 block of E Allen Ave",0,1,N/A
1702545,"June 10, 2020","New York",Syracuse,"100 block of McKinley Ave",0,1,N/A
1702018,"June 10, 2020",Tennessee,Memphis,"4130 Kirby Pkwy",1,2,N/A
1701469,"June 9, 2020",Illinois,"East Saint Louis","1200 block of McCasland Ave",1,2,N/A
1701175,"June 9, 2020",Missouri,"Saint Louis","4000 block of Peck St",0,2,N/A
1701717,"June 9, 2020","North Carolina",Burgaw,N/A,1,0,N/A
1701491,"June 9, 2020",California,Vallejo,"100 block of Cynthia Ave",2,3,N/A
1700302,"June 8, 2020",Minnesota,"Saint Paul (White Bear Lake)","5050 Lake Ave",0,2,N/A
1700250,"June 8, 2020",Tennessee,Memphis,"1525 E McLemore Ave",0,4,N/A
1700652,"June 8, 2020",Florida,"Panama City Beach","Front Beach Rd",0,1,N/A
1699818,"June 7, 2020","North Carolina",Charlotte,"5712 Leake St",0,1,N/A
